dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,std_macro_f1,n_seeds
ag_news,8,0.0,class_conditional,linear_svm_hinge,0.474464,0.046628,5
ag_news,8,0.0,class_conditional,multinomial_nb,0.516255,0.030569,5
ag_news,8,0.0,class_conditional,softmax_logreg,0.493012,0.034378,5
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,0.416377,0.076036,5
ag_news,8,0.0,symmetric,linear_svm_hinge,0.474464,0.046628,5
ag_news,8,0.0,symmetric,multinomial_nb,0.516255,0.030569,5
ag_news,8,0.0,symmetric,softmax_logreg,0.493012,0.034378,5
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,0.416377,0.076036,5
ag_news,8,0.05,class_conditional,linear_svm_hinge,0.428486,0.071274,5
ag_news,8,0.05,class_conditional,multinomial_nb,0.487044,0.039294,5
ag_news,8,0.05,class_conditional,softmax_logreg,0.450573,0.053881,5
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,0.298449,0.024924,5
ag_news,8,0.05,symmetric,linear_svm_hinge,0.443223,0.039456,5
ag_news,8,0.05,symmetric,multinomial_nb,0.489580,0.029010,5
ag_news,8,0.05,symmetric,softmax_logreg,0.461703,0.036499,5
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,0.336780,0.007186,5
ag_news,8,0.1,class_conditional,linear_svm_hinge,0.421362,0.053777,5
ag_news,8,0.1,class_conditional,multinomial_nb,0.456723,0.038343,5
ag_news,8,0.1,class_conditional,softmax_logreg,0.405645,0.030317,5
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,0.300853,0.048838,5
ag_news,8,0.1,symmetric,linear_svm_hinge,0.437839,0.049438,5
ag_news,8,0.1,symmetric,multinomial_nb,0.468569,0.038688,5
ag_news,8,0.1,symmetric,softmax_logreg,0.423531,0.052364,5
ag_news,8,0.1,symmetric,trimmed_softmax_logreg,0.303191,0.040262,5
ag_news,8,0.2,class_conditional,linear_svm_hinge,0.369670,0.067199,5
ag_news,8,0.2,class_conditional,multinomial_nb,0.404563,0.054641,5
ag_news,8,0.2,class_conditional,softmax_logreg,0.350171,0.062710,5
ag_news,8,0.2,class_conditional,trimmed_softmax_logreg,0.302782,0.060662,5
ag_news,8,0.2,symmetric,linear_svm_hinge,0.371483,0.055643,5
ag_news,8,0.2,symmetric,multinomial_nb,0.406321,0.048461,5
ag_news,8,0.2,symmetric,softmax_logreg,0.361450,0.062091,5
ag_news,8,0.2,symmetric,trimmed_softmax_logreg,0.288534,0.041456,5
ag_news,8,0.3,class_conditional,linear_svm_hinge,0.343956,0.044490,5
ag_news,8,0.3,class_conditional,multinomial_nb,0.368726,0.038212,5
ag_news,8,0.3,class_conditional,softmax_logreg,0.335487,0.035202,5
ag_news,8,0.3,class_conditional,trimmed_softmax_logreg,0.276555,0.032455,5
ag_news,8,0.3,symmetric,linear_svm_hinge,0.299394,0.040520,5
ag_news,8,0.3,symmetric,multinomial_nb,0.346783,0.045533,5
