comparison,dataset,seed,cluster_unit,condition_delta_count,mean_delta_macro_f1
linear_svm_hinge_minus_softmax_logreg,ag_news,101,dataset_seed,36,-0.043521028991482434
linear_svm_hinge_minus_softmax_logreg,ag_news,202,dataset_seed,36,-0.03479638373067435
linear_svm_hinge_minus_softmax_logreg,ag_news,303,dataset_seed,36,-0.02671635078676353
linear_svm_hinge_minus_softmax_logreg,ag_news,404,dataset_seed,36,-0.03836565984904323
linear_svm_hinge_minus_softmax_logreg,ag_news,505,dataset_seed,36,-0.03868398292025868
linear_svm_hinge_minus_softmax_logreg,dbpedia_14,101,dataset_seed,36,-0.05247708753618628
linear_svm_hinge_minus_softmax_logreg,dbpedia_14,202,dataset_seed,36,-0.04328699219604784
linear_svm_hinge_minus_softmax_logreg,dbpedia_14,303,dataset_seed,36,-0.044291088008579636
linear_svm_hinge_minus_softmax_logreg,dbpedia_14,404,dataset_seed,36,-0.02931026064899668
linear_svm_hinge_minus_softmax_logreg,dbpedia_14,505,dataset_seed,36,-0.0730088932657649
linear_svm_hinge_minus_softmax_logreg,trec_qc,101,dataset_seed,36,-0.04843673503541138
linear_svm_hinge_minus_softmax_logreg,trec_qc,202,dataset_seed,36,-0.053178199984833745
linear_svm_hinge_minus_softmax_logreg,trec_qc,303,dataset_seed,36,-0.07273599035335739
linear_svm_hinge_minus_softmax_logreg,trec_qc,404,dataset_seed,36,-0.06776094887180774
linear_svm_hinge_minus_softmax_logreg,trec_qc,505,dataset_seed,36,-0.027586174555649386
multinomial_nb_minus_softmax_logreg,ag_news,101,dataset_seed,36,0.03801393634511299
multinomial_nb_minus_softmax_logreg,ag_news,202,dataset_seed,36,0.0507265120899071
multinomial_nb_minus_softmax_logreg,ag_news,303,dataset_seed,36,0.03294539667836374
multinomial_nb_minus_softmax_logreg,ag_news,404,dataset_seed,36,0.03689555444554095
multinomial_nb_minus_softmax_logreg,ag_news,505,dataset_seed,36,0.0335021795767027
multinomial_nb_minus_softmax_logreg,dbpedia_14,101,dataset_seed,36,0.03175085120518459
multinomial_nb_minus_softmax_logreg,dbpedia_14,202,dataset_seed,36,0.038053695009663394
multinomial_nb_minus_softmax_logreg,dbpedia_14,303,dataset_seed,36,0.04005476117386233
multinomial_nb_minus_softmax_logreg,dbpedia_14,404,dataset_seed,36,0.028651133434778913
multinomial_nb_minus_softmax_logreg,dbpedia_14,505,dataset_seed,36,0.024230820257984804
multinomial_nb_minus_softmax_logreg,trec_qc,101,dataset_seed,36,-0.028861494754407444
multinomial_nb_minus_softmax_logreg,trec_qc,202,dataset_seed,36,-0.0379628685561783
multinomial_nb_minus_softmax_logreg,trec_qc,303,dataset_seed,36,-0.04829055707418728
multinomial_nb_minus_softmax_logreg,trec_qc,404,dataset_seed,36,-0.065861556817258
multinomial_nb_minus_softmax_logreg,trec_qc,505,dataset_seed,36,-0.01800962528594148
trimmed_softmax_logreg_minus_softmax_logreg,ag_news,101,dataset_seed,36,-0.13167235529699706
trimmed_softmax_logreg_minus_softmax_logreg,ag_news,202,dataset_seed,36,-0.143736108411625
trimmed_softmax_logreg_minus_softmax_logreg,ag_news,303,dataset_seed,36,-0.12292003054196549
trimmed_softmax_logreg_minus_softmax_logreg,ag_news,404,dataset_seed,36,-0.11800962794007022
trimmed_softmax_logreg_minus_softmax_logreg,ag_news,505,dataset_seed,36,-0.14307955650201395
trimmed_softmax_logreg_minus_softmax_logreg,dbpedia_14,101,dataset_seed,36,-0.16429536883153292
trimmed_softmax_logreg_minus_softmax_logreg,dbpedia_14,202,dataset_seed,36,-0.16145612779332405
trimmed_softmax_logreg_minus_softmax_logreg,dbpedia_14,303,dataset_seed,36,-0.1748183282079967
trimmed_softmax_logreg_minus_softmax_logreg,dbpedia_14,404,dataset_seed,36,-0.16745852430550462
trimmed_softmax_logreg_minus_softmax_logreg,dbpedia_14,505,dataset_seed,36,-0.16349519920942487
trimmed_softmax_logreg_minus_softmax_logreg,trec_qc,101,dataset_seed,36,-0.015355913303697935
trimmed_softmax_logreg_minus_softmax_logreg,trec_qc,202,dataset_seed,36,-0.0034952161075700377
trimmed_softmax_logreg_minus_softmax_logreg,trec_qc,303,dataset_seed,36,-0.0195395006953789
trimmed_softmax_logreg_minus_softmax_logreg,trec_qc,404,dataset_seed,36,-0.040283696876824225
trimmed_softmax_logreg_minus_softmax_logreg,trec_qc,505,dataset_seed,36,-0.006392497169493704
