dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
ag_news,8,0.0,class_conditional,linear_svm_hinge,0.474464,0.000000
ag_news,8,0.0,class_conditional,multinomial_nb,0.516255,0.000000
ag_news,8,0.0,class_conditional,softmax_logreg,0.493012,0.000000
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,0.416377,0.000000
ag_news,8,0.0,symmetric,linear_svm_hinge,0.474464,0.000000
ag_news,8,0.0,symmetric,multinomial_nb,0.516255,0.000000
ag_news,8,0.0,symmetric,softmax_logreg,0.493012,0.000000
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,0.416377,0.000000
ag_news,8,0.05,class_conditional,linear_svm_hinge,0.428486,-0.045978
ag_news,8,0.05,class_conditional,multinomial_nb,0.487044,-0.029211
ag_news,8,0.05,class_conditional,softmax_logreg,0.450573,-0.042440
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,0.298449,-0.117928
ag_news,8,0.05,symmetric,linear_svm_hinge,0.443223,-0.031241
ag_news,8,0.05,symmetric,multinomial_nb,0.489580,-0.026675
ag_news,8,0.05,symmetric,softmax_logreg,0.461703,-0.031309
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,0.336780,-0.079597
ag_news,8,0.1,class_conditional,linear_svm_hinge,0.421362,-0.053102
ag_news,8,0.1,class_conditional,multinomial_nb,0.456723,-0.059532
ag_news,8,0.1,class_conditional,softmax_logreg,0.405645,-0.087368
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,0.300853,-0.115524
ag_news,8,0.1,symmetric,linear_svm_hinge,0.437839,-0.036625
ag_news,8,0.1,symmetric,multinomial_nb,0.468569,-0.047685
ag_news,8,0.1,symmetric,softmax_logreg,0.423531,-0.069482
ag_news,8,0.1,symmetric,trimmed_softmax_logreg,0.303191,-0.113186
ag_news,8,0.2,class_conditional,linear_svm_hinge,0.369670,-0.104794
ag_news,8,0.2,class_conditional,multinomial_nb,0.404563,-0.111692
ag_news,8,0.2,class_conditional,softmax_logreg,0.350171,-0.142841
ag_news,8,0.2,class_conditional,trimmed_softmax_logreg,0.302782,-0.113595
ag_news,8,0.2,symmetric,linear_svm_hinge,0.371483,-0.102981
ag_news,8,0.2,symmetric,multinomial_nb,0.406321,-0.109933
ag_news,8,0.2,symmetric,softmax_logreg,0.361450,-0.131563
ag_news,8,0.2,symmetric,trimmed_softmax_logreg,0.288534,-0.127843
ag_news,8,0.3,class_conditional,linear_svm_hinge,0.343956,-0.130508
ag_news,8,0.3,class_conditional,multinomial_nb,0.368726,-0.147529
ag_news,8,0.3,class_conditional,softmax_logreg,0.335487,-0.157525
ag_news,8,0.3,class_conditional,trimmed_softmax_logreg,0.276555,-0.139822
ag_news,8,0.3,symmetric,linear_svm_hinge,0.299394,-0.175070
ag_news,8,0.3,symmetric,multinomial_nb,0.346783,-0.169471
ag_news,8,0.3,symmetric,softmax_logreg,0.297798,-0.195215
ag_news,8,0.3,symmetric,trimmed_softmax_logreg,0.237483,-0.178894
ag_news,16,0.0,class_conditional,linear_svm_hinge,0.551650,0.000000
ag_news,16,0.0,class_conditional,multinomial_nb,0.606874,0.000000
ag_news,16,0.0,class_conditional,softmax_logreg,0.582915,0.000000
ag_news,16,0.0,class_conditional,trimmed_softmax_logreg,0.527831,0.000000
ag_news,16,0.0,symmetric,linear_svm_hinge,0.551650,0.000000
ag_news,16,0.0,symmetric,multinomial_nb,0.606874,0.000000
ag_news,16,0.0,symmetric,softmax_logreg,0.582915,0.000000
ag_news,16,0.0,symmetric,trimmed_softmax_logreg,0.527831,0.000000
ag_news,16,0.05,class_conditional,linear_svm_hinge,0.541147,-0.010502
ag_news,16,0.05,class_conditional,multinomial_nb,0.586107,-0.020767
ag_news,16,0.05,class_conditional,softmax_logreg,0.556578,-0.026337
ag_news,16,0.05,class_conditional,trimmed_softmax_logreg,0.425051,-0.102780
ag_news,16,0.05,symmetric,linear_svm_hinge,0.522644,-0.029006
ag_news,16,0.05,symmetric,multinomial_nb,0.583673,-0.023200
ag_news,16,0.05,symmetric,softmax_logreg,0.549582,-0.033333
ag_news,16,0.05,symmetric,trimmed_softmax_logreg,0.390993,-0.136838
ag_news,16,0.1,class_conditional,linear_svm_hinge,0.505136,-0.046514
ag_news,16,0.1,class_conditional,multinomial_nb,0.557358,-0.049516
ag_news,16,0.1,class_conditional,softmax_logreg,0.524863,-0.058051
ag_news,16,0.1,class_conditional,trimmed_softmax_logreg,0.357295,-0.170536
ag_news,16,0.1,symmetric,linear_svm_hinge,0.491038,-0.060612
ag_news,16,0.1,symmetric,multinomial_nb,0.559394,-0.047480
ag_news,16,0.1,symmetric,softmax_logreg,0.511853,-0.071062
ag_news,16,0.1,symmetric,trimmed_softmax_logreg,0.377437,-0.150394
ag_news,16,0.2,class_conditional,linear_svm_hinge,0.446564,-0.105086
ag_news,16,0.2,class_conditional,multinomial_nb,0.484998,-0.121876
ag_news,16,0.2,class_conditional,softmax_logreg,0.435973,-0.146942
ag_news,16,0.2,class_conditional,trimmed_softmax_logreg,0.321256,-0.206574
ag_news,16,0.2,symmetric,linear_svm_hinge,0.445456,-0.106194
ag_news,16,0.2,symmetric,multinomial_nb,0.499620,-0.107254
ag_news,16,0.2,symmetric,softmax_logreg,0.439950,-0.142964
