dataset,budget_per_class,noise_rate,noise_type,method,n_cells,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
ag_news,8,0.0,symmetric,distilbert_base_uncased,5,0.5017499999999999,0.1433300387218255,0.44105769091192937,0.1921175689483356
ag_news,8,0.05,symmetric,distilbert_base_uncased,5,0.45824999999999994,0.13355850777842643,0.39485998393407373,0.18751518384080845
ag_news,8,0.1,symmetric,distilbert_base_uncased,5,0.4114999999999999,0.09771258874884034,0.32662574414806245,0.13294255998424093
ag_news,8,0.2,symmetric,distilbert_base_uncased,5,0.34674999999999995,0.07639780756016497,0.23890367964754794,0.10687753916143061
ag_news,8,0.3,symmetric,distilbert_base_uncased,5,0.27949999999999997,0.02731300056749533,0.15354884972713614,0.03662308166727553
ag_news,16,0.0,symmetric,distilbert_base_uncased,5,0.6380000000000001,0.1645649567799901,0.6157575852943534,0.19759768810493294
ag_news,16,0.05,symmetric,distilbert_base_uncased,5,0.5785,0.1741647926533948,0.5319994578358249,0.22274482407197704
ag_news,16,0.1,symmetric,distilbert_base_uncased,5,0.46975,0.1216203108037469,0.40192572907891455,0.16259465320484795
ag_news,16,0.2,symmetric,distilbert_base_uncased,5,0.43975,0.105922731271432,0.3629111185447942,0.1196686541076247
ag_news,16,0.3,symmetric,distilbert_base_uncased,5,0.45824999999999994,0.09831263906538161,0.38060361461065745,0.13166553144861368
ag_news,64,0.0,symmetric,distilbert_base_uncased,5,0.845,0.025896428325157112,0.843806517250141,0.026061618331641462
ag_news,64,0.05,symmetric,distilbert_base_uncased,5,0.8390000000000001,0.020697222035819193,0.8368646214633995,0.021390430594772705
ag_news,64,0.1,symmetric,distilbert_base_uncased,5,0.826,0.025658819146640404,0.8224804778927066,0.02612547743697343
ag_news,64,0.2,symmetric,distilbert_base_uncased,5,0.8282499999999999,0.017564168070250293,0.825892212592702,0.019094762260445937
ag_news,64,0.3,symmetric,distilbert_base_uncased,5,0.8004999999999999,0.048299844720247294,0.794787944310469,0.05495605420546484
ag_news,128,0.0,symmetric,distilbert_base_uncased,5,0.8627499999999999,0.018664806454930086,0.861991505015137,0.018387391528281394
ag_news,128,0.05,symmetric,distilbert_base_uncased,5,0.8580000000000002,0.019773719933285184,0.8572312172575444,0.019784185383919024
ag_news,128,0.1,symmetric,distilbert_base_uncased,5,0.8655000000000002,0.012057155551787473,0.864749799547021,0.0121467824647931
ag_news,128,0.2,symmetric,distilbert_base_uncased,5,0.8465,0.018103866990231667,0.8447728860647536,0.019785749669814886
ag_news,128,0.3,symmetric,distilbert_base_uncased,5,0.84275,0.01626729848499743,0.8409751488012637,0.017248930076243646
