dataset,budget_per_class,noise_rate,noise_type,method,delta_accuracy_vs_clean,delta_macro_f1_vs_clean
ag_news,8,0.05,symmetric,distilbert_base_uncased,-0.04349999999999998,-0.046197706977855635
ag_news,8,0.1,symmetric,distilbert_base_uncased,-0.09025,-0.11443194676386692
ag_news,8,0.2,symmetric,distilbert_base_uncased,-0.15499999999999997,-0.20215401126438143
ag_news,8,0.3,symmetric,distilbert_base_uncased,-0.22224999999999995,-0.28750884118479325
ag_news,16,0.05,symmetric,distilbert_base_uncased,-0.05950000000000011,-0.08375812745852851
ag_news,16,0.1,symmetric,distilbert_base_uncased,-0.16825000000000012,-0.21383185621543888
ag_news,16,0.2,symmetric,distilbert_base_uncased,-0.19825000000000015,-0.25284646674955924
ag_news,16,0.3,symmetric,distilbert_base_uncased,-0.1797500000000002,-0.23515397068369598
ag_news,64,0.05,symmetric,distilbert_base_uncased,-0.005999999999999894,-0.0069418957867415365
ag_news,64,0.1,symmetric,distilbert_base_uncased,-0.019000000000000017,-0.02132603935743438
ag_news,64,0.2,symmetric,distilbert_base_uncased,-0.016750000000000043,-0.01791430465743904
ag_news,64,0.3,symmetric,distilbert_base_uncased,-0.044500000000000095,-0.049018572939672045
ag_news,128,0.05,symmetric,distilbert_base_uncased,-0.004749999999999699,-0.0047602877575926295
ag_news,128,0.1,symmetric,distilbert_base_uncased,0.0027500000000002522,0.0027582945318840313
ag_news,128,0.2,symmetric,distilbert_base_uncased,-0.016249999999999876,-0.017218618950383346
ag_news,128,0.3,symmetric,distilbert_base_uncased,-0.019999999999999907,-0.021016356213873322
dbpedia_14,8,0.05,symmetric,distilbert_base_uncased,0.00649999999999995,0.004535236924482544
dbpedia_14,8,0.1,symmetric,distilbert_base_uncased,-0.07792857142857135,-0.0802257611090963
dbpedia_14,8,0.2,symmetric,distilbert_base_uncased,-0.10192857142857137,-0.12132232708583868
dbpedia_14,8,0.3,symmetric,distilbert_base_uncased,-0.12885714285714278,-0.14081877978218987
dbpedia_14,16,0.05,symmetric,distilbert_base_uncased,-0.04499999999999993,-0.0550417194775813
dbpedia_14,16,0.1,symmetric,distilbert_base_uncased,-0.05499999999999994,-0.06806983769453301
dbpedia_14,16,0.2,symmetric,distilbert_base_uncased,-0.13414285714285712,-0.15373480174858867
dbpedia_14,16,0.3,symmetric,distilbert_base_uncased,-0.21085714285714285,-0.23875950949778724
dbpedia_14,64,0.05,symmetric,distilbert_base_uncased,7.142857142872217e-05,6.977089808624104e-05
dbpedia_14,64,0.1,symmetric,distilbert_base_uncased,-0.0017142857142857792,-0.0017197095752242708
dbpedia_14,64,0.2,symmetric,distilbert_base_uncased,-0.0012857142857143344,-0.001283144312758222
dbpedia_14,64,0.3,symmetric,distilbert_base_uncased,-0.00371428571428567,-0.0037372739137490063
dbpedia_14,128,0.05,symmetric,distilbert_base_uncased,-0.0015000000000000568,-0.001497077124135937
dbpedia_14,128,0.1,symmetric,distilbert_base_uncased,-0.0004285714285714448,-0.0004301613933247461
dbpedia_14,128,0.2,symmetric,distilbert_base_uncased,-0.0018571428571428905,-0.0018436846339677793
dbpedia_14,128,0.3,symmetric,distilbert_base_uncased,-0.002214285714285724,-0.002191798078723828
trec_qc,8,0.05,symmetric,distilbert_base_uncased,0.010000000000000009,-0.007992708749719302
trec_qc,8,0.1,symmetric,distilbert_base_uncased,-0.038000000000000006,-0.0588947195282785
trec_qc,8,0.2,symmetric,distilbert_base_uncased,0.012399999999999994,-0.005285056112670217
trec_qc,8,0.3,symmetric,distilbert_base_uncased,-0.051199999999999996,-0.07701318576700009
trec_qc,16,0.05,symmetric,distilbert_base_uncased,0.0020000000000000018,-0.019079634701866077
trec_qc,16,0.1,symmetric,distilbert_base_uncased,-0.10200000000000004,-0.11112558216911916
trec_qc,16,0.2,symmetric,distilbert_base_uncased,-0.09000000000000002,-0.1518074773251859
trec_qc,16,0.3,symmetric,distilbert_base_uncased,-0.04239999999999999,-0.12060078811653582
trec_qc,64,0.05,symmetric,distilbert_base_uncased,-0.008399999999999963,-0.004311725700865021
trec_qc,64,0.1,symmetric,distilbert_base_uncased,-0.036800000000000055,-0.03621149150746861
trec_qc,64,0.2,symmetric,distilbert_base_uncased,-0.15639999999999998,-0.1463883675116593
trec_qc,64,0.3,symmetric,distilbert_base_uncased,-0.14480000000000004,-0.11419458939713767
trec_qc,128,0.05,symmetric,distilbert_base_uncased,-0.01200000000000001,-0.009647649920861645
trec_qc,128,0.1,symmetric,distilbert_base_uncased,-0.014000000000000012,-0.007977526217687214
trec_qc,128,0.2,symmetric,distilbert_base_uncased,-0.03320000000000001,-0.023982448406094425
trec_qc,128,0.3,symmetric,distilbert_base_uncased,-0.07000000000000006,-0.06941784118966532
