dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_runtime_seconds,eval_runtime_seconds,epochs,requested_train_batch_size,effective_train_batch_size,requested_eval_batch_size,effective_eval_batch_size,train_batches,eval_batches,peak_memory_allocated_mib,effective_device,mean_train_loss,train_counts,source_kind,method_family,fit_notes
dbpedia_14,128,0.3,symmetric,distilbert_base_uncased,101,1792,2800,14,0.2935267857142857,0.9821428571428571,0.9820941731001926,6.839064121246338,5.565150499343872,1.1830120086669922,3,32,32,64,64,168,44,2086.12,cuda:0,1.7978659236714953,"{""0"": 128, ""1"": 128, ""2"": 128, ""3"": 128, ""4"": 128, ""5"": 128, ""6"": 128, ""7"": 128, ""8"": 128, ""9"": 128, ""10"": 128, ""11"": 128, ""12"": 128, ""13"": 128}",cached_parquet_balanced_pool,pretrained_transformer,3_epochs_local_cache_maxlen_128
trec_qc,128,0.3,symmetric,distilbert_base_uncased,101,726,500,6,0.2837465564738292,0.82,0.7864139007096252,1.20723295211792,1.0698134899139404,0.05307912826538086,3,32,32,64,64,69,8,1313.11,cuda:0,1.5978188704753267,"{""0"": 128, ""1"": 128, ""2"": 86, ""3"": 128, ""4"": 128, ""5"": 128}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.0,symmetric,distilbert_base_uncased,101,32,800,4,0.0,0.61375,0.6096869627515751,0.5073788166046143,0.09363412857055664,0.3113586902618408,3,32,32,64,64,3,13,1857.47,cuda:0,1.3658097585042317,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.0,symmetric,distilbert_base_uncased,202,32,800,4,0.0,0.25125,0.10921312391900628,0.5078134536743164,0.10697317123413086,0.2951033115386963,3,32,32,64,64,3,13,2085.25,cuda:0,1.3760602871576946,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.0,symmetric,distilbert_base_uncased,303,32,800,4,0.0,0.58875,0.525563680468444,0.48882412910461426,0.09278321266174316,0.2937624454498291,3,32,32,64,64,3,13,1795.5,cuda:0,1.349629243214925,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.0,symmetric,distilbert_base_uncased,404,32,800,4,0.0,0.62375,0.6141103501735983,0.4738731384277344,0.07329750061035156,0.2977876663208008,3,32,32,64,64,3,13,1463.54,cuda:0,1.3475205898284912,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.0,symmetric,distilbert_base_uncased,505,32,800,4,0.0,0.43125,0.346714337247023,0.4796586036682129,0.08777260780334473,0.28713417053222656,3,32,32,64,64,3,13,1749.18,cuda:0,1.377213478088379,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.05,symmetric,distilbert_base_uncased,101,32,800,4,0.0625,0.58,0.5782956099606583,0.5058774948120117,0.09346985816955566,0.3066859245300293,3,32,32,64,64,3,13,1856.6,cuda:0,1.368260145187378,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.05,symmetric,distilbert_base_uncased,202,32,800,4,0.0625,0.26375,0.1355715515115057,0.5076909065246582,0.11050677299499512,0.29396605491638184,3,32,32,64,64,3,13,2084.5,cuda:0,1.389137903849284,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.05,symmetric,distilbert_base_uncased,303,32,800,4,0.09375,0.43625,0.378846748136215,0.48999452590942383,0.09138011932373047,0.294391393661499,3,32,32,64,64,3,13,1796.61,cuda:0,1.35097070535024,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.05,symmetric,distilbert_base_uncased,404,32,800,4,0.03125,0.63125,0.6284822324728556,0.47367167472839355,0.07444381713867188,0.29373764991760254,3,32,32,64,64,3,13,1464.41,cuda:0,1.3507834275563557,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.05,symmetric,distilbert_base_uncased,505,32,800,4,0.0625,0.38,0.2531037775891341,0.4763507843017578,0.08922815322875977,0.28607797622680664,3,32,32,64,64,3,13,1750.68,cuda:0,1.3742689689000447,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.1,symmetric,distilbert_base_uncased,101,32,800,4,0.15625,0.45125,0.41708244128678756,0.5209372043609619,0.09453821182250977,0.3173348903656006,3,32,32,64,64,3,13,1857.1,cuda:0,1.3672925233840942,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.1,symmetric,distilbert_base_uncased,202,32,800,4,0.15625,0.2525,0.10545799066242113,0.5151340961456299,0.1124272346496582,0.2977151870727539,3,32,32,64,64,3,13,2088.0,cuda:0,1.3517674207687378,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.1,symmetric,distilbert_base_uncased,303,32,800,4,0.125,0.48875,0.4260703546929876,0.49889254570007324,0.09181380271911621,0.3007514476776123,3,32,32,64,64,3,13,1800.66,cuda:0,1.3489348491032918,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.1,symmetric,distilbert_base_uncased,404,32,800,4,0.21875,0.51625,0.44446710310903315,0.4728512763977051,0.07262969017028809,0.2938241958618164,3,32,32,64,64,3,13,1466.54,cuda:0,1.34933602809906,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.1,symmetric,distilbert_base_uncased,505,32,800,4,0.125,0.34875,0.24005083098908278,0.4800374507904053,0.08788132667541504,0.28667497634887695,3,32,32,64,64,3,13,1754.38,cuda:0,1.366983413696289,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.2,symmetric,distilbert_base_uncased,101,32,800,4,0.15625,0.45125,0.41708244128678756,0.5056169033050537,0.09348034858703613,0.30776286125183105,3,32,32,64,64,3,13,1854.35,cuda:0,1.3672925233840942,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.2,symmetric,distilbert_base_uncased,202,32,800,4,0.3125,0.26125,0.13765445908203042,0.5068521499633789,0.10603117942810059,0.29604101181030273,3,32,32,64,64,3,13,2088.17,cuda:0,1.3856136798858643,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.2,symmetric,distilbert_base_uncased,303,32,800,4,0.21875,0.40875,0.28463837310488627,0.4926719665527344,0.09000420570373535,0.2962501049041748,3,32,32,64,64,3,13,1802.22,cuda:0,1.353259563446045,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,8,0.2,symmetric,distilbert_base_uncased,404,32,800,4,0.21875,0.2625,0.12513089724790785,0.4714369773864746,0.07024955749511719,0.2931392192840576,3,32,32,64,64,3,13,1466.23,cuda:0,1.3532787561416626,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
