dataset,budget_per_class,budget_train_total,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,n_corrupt,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes,mask_sha256,sample_order_sha256
ag_news,8,32,0.0,class_conditional,linear_svm_hinge,101,32,800,4,0,0.0,0.4225,0.411099485207772,0.00695037841796875,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,class_conditional,linear_svm_hinge,202,32,800,4,0,0.0,0.51,0.5068241044063576,0.007127285003662109,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,class_conditional,linear_svm_hinge,303,32,800,4,0,0.0,0.5025,0.49396797096462847,0.00715947151184082,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,class_conditional,linear_svm_hinge,404,32,800,4,0,0.0,0.54,0.5319929229224082,0.00715947151184082,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,class_conditional,linear_svm_hinge,505,32,800,4,0,0.0,0.4475,0.4284358601860281,0.007233381271362305,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.0,class_conditional,multinomial_nb,101,32,800,4,0,0.0,0.47,0.46694098128876904,0.0005145072937011719,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,class_conditional,multinomial_nb,202,32,800,4,0,0.0,0.54875,0.5465210898191208,0.0004892349243164062,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,class_conditional,multinomial_nb,303,32,800,4,0,0.0,0.51625,0.5201888511949936,0.0004916191101074219,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,class_conditional,multinomial_nb,404,32,800,4,0,0.0,0.5525,0.54825225906343,0.0006394386291503906,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,class_conditional,multinomial_nb,505,32,800,4,0,0.0,0.5,0.49936981675070885,0.0005095005035400391,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.0,class_conditional,softmax_logreg,101,32,800,4,0,0.0,0.445,0.44513667170672944,0.0062427520751953125,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,class_conditional,softmax_logreg,202,32,800,4,0,0.0,0.505,0.4998798660634409,0.0065631866455078125,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,class_conditional,softmax_logreg,303,32,800,4,0,0.0,0.51375,0.5144687816076172,0.006335735321044922,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,class_conditional,softmax_logreg,404,32,800,4,0,0.0,0.545,0.5409875604149916,0.0061528682708740234,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,class_conditional,softmax_logreg,505,32,800,4,0,0.0,0.46875,0.46458901517263146,0.006573677062988281,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.0,class_conditional,trimmed_softmax_logreg,101,32,800,4,0,0.0,0.37625,0.324821917426081,0.008159399032592773,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,class_conditional,trimmed_softmax_logreg,202,32,800,4,0,0.0,0.4675,0.4556384559442242,0.008471488952636719,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,class_conditional,trimmed_softmax_logreg,303,32,800,4,0,0.0,0.48,0.4652753599920766,0.008154630661010742,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,class_conditional,trimmed_softmax_logreg,404,32,800,4,0,0.0,0.525,0.5091418702783012,0.00795745849609375,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,class_conditional,trimmed_softmax_logreg,505,32,800,4,0,0.0,0.37875,0.32700686164736187,0.008928775787353516,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.0,symmetric,linear_svm_hinge,101,32,800,4,0,0.0,0.4225,0.411099485207772,0.011282920837402344,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,symmetric,linear_svm_hinge,202,32,800,4,0,0.0,0.51,0.5068241044063576,0.007199287414550781,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,symmetric,linear_svm_hinge,303,32,800,4,0,0.0,0.5025,0.49396797096462847,0.007216691970825195,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.0,symmetric,linear_svm_hinge,404,32,800,4,0,0.0,0.54,0.5319929229224082,0.007826805114746094,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.0,symmetric,linear_svm_hinge,505,32,800,4,0,0.0,0.4475,0.4284358601860281,0.007485389709472656,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.0,symmetric,multinomial_nb,101,32,800,4,0,0.0,0.47,0.46694098128876904,0.0004935264587402344,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.0,symmetric,multinomial_nb,202,32,800,4,0,0.0,0.54875,0.5465210898191208,0.0004887580871582031,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.0,symmetric,multinomial_nb,303,32,800,4,0,0.0,0.51625,0.5201888511949936,0.0005271434783935547,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
