dataset,budget_per_class,noise_rate,noise_type,method,delta_accuracy_vs_clean,delta_macro_f1_vs_clean,macro_f1_slope_per_noise_rate
ag_news,8,0.05,class_conditional,linear_svm_hinge,-0.028750000000000053,-0.04014347379936484,-0.8028694759872967
ag_news,8,0.05,class_conditional,multinomial_nb,-0.014249999999999763,-0.01791588798911181,-0.35831775978223623
ag_news,8,0.05,class_conditional,softmax_logreg,-0.027249999999999996,-0.03430514155519426,-0.6861028311038853
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,-0.03200000000000003,-0.06391112979091773,-1.2782225958183546
ag_news,8,0.05,symmetric,linear_svm_hinge,-0.037750000000000006,-0.044983014015078204,-0.8996602803015641
ag_news,8,0.05,symmetric,multinomial_nb,-0.025499999999999856,-0.031248625419758314,-0.6249725083951663
ag_news,8,0.05,symmetric,softmax_logreg,-0.04250000000000004,-0.054020723037639495,-1.08041446075279
ag_news,8,0.05,symmetric,trimmed_softmax_logreg,-0.06375000000000003,-0.10251811660346433,-2.0503623320692865
ag_news,8,0.1,class_conditional,linear_svm_hinge,-0.034250000000000114,-0.043519430224783384,-0.43519430224783384
ag_news,8,0.1,class_conditional,multinomial_nb,-0.03549999999999981,-0.039850903834187545,-0.39850903834187545
ag_news,8,0.1,class_conditional,softmax_logreg,-0.05224999999999996,-0.06318582252729094,-0.6318582252729094
ag_news,8,0.1,class_conditional,trimmed_softmax_logreg,-0.07474999999999998,-0.11739381909026858,-1.1739381909026858
ag_news,8,0.1,symmetric,linear_svm_hinge,-0.07950000000000007,-0.10799656041943773,-1.0799656041943773
ag_news,8,0.1,symmetric,multinomial_nb,-0.07899999999999985,-0.10411729625521943,-1.0411729625521942
ag_news,8,0.1,symmetric,softmax_logreg,-0.09149999999999997,-0.13070697204639792,-1.3070697204639792
ag_news,8,0.1,symmetric,trimmed_softmax_logreg,-0.065,-0.10635390652823862,-1.0635390652823862
