dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes
ag_news,8,0.0,class_conditional,linear_svm_hinge,101,32,800,4,0.0,0.4225,0.411099485207772,0.03752899169921875,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,class_conditional,linear_svm_hinge,202,32,800,4,0.0,0.51,0.5068241044063576,0.03576159477233887,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,class_conditional,linear_svm_hinge,303,32,800,4,0.0,0.5025,0.49396797096462847,0.034398794174194336,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,class_conditional,linear_svm_hinge,404,32,800,4,0.0,0.54,0.5319929229224082,0.039817094802856445,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,class_conditional,linear_svm_hinge,505,32,800,4,0.0,0.4475,0.4284358601860281,0.04818439483642578,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.0,class_conditional,multinomial_nb,101,32,800,4,0.0,0.47,0.46694098128876904,0.03681302070617676,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,class_conditional,multinomial_nb,202,32,800,4,0.0,0.54875,0.5465210898191208,0.036843299865722656,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,class_conditional,multinomial_nb,303,32,800,4,0.0,0.51625,0.5201888511949936,0.04105186462402344,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,class_conditional,multinomial_nb,404,32,800,4,0.0,0.5525,0.54825225906343,0.030131816864013672,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,class_conditional,multinomial_nb,505,32,800,4,0.0,0.5,0.49936981675070885,0.02815985679626465,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.0,class_conditional,softmax_logreg,101,32,800,4,0.0,0.445,0.44513667170672944,0.04041886329650879,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,class_conditional,softmax_logreg,202,32,800,4,0.0,0.505,0.4998798660634409,0.048171043395996094,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,class_conditional,softmax_logreg,303,32,800,4,0.0,0.51375,0.5144687816076172,0.04774928092956543,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,class_conditional,softmax_logreg,404,32,800,4,0.0,0.545,0.5409875604149916,0.052504539489746094,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,class_conditional,softmax_logreg,505,32,800,4,0.0,0.46875,0.46458901517263146,0.034008026123046875,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,101,32,800,4,0.0,0.37625,0.324821917426081,0.050542593002319336,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,202,32,800,4,0.0,0.4675,0.4556384559442242,0.053812265396118164,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.0,class_conditional,trimmed_softmax_logreg,303,32,800,4,0.0,0.48,0.4652753599920766,0.03523087501525879,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
