dataset,budget_per_class,noise_type,noise_rate,mean_absolute_rank_shift_vs_clean,top_method
ag_news,8,class_conditional,0.0,0.0,multinomial_nb
ag_news,8,class_conditional,0.05,0.0,multinomial_nb
ag_news,8,class_conditional,0.1,0.5,multinomial_nb
ag_news,8,class_conditional,0.2,0.5,multinomial_nb
ag_news,8,class_conditional,0.3,0.5,multinomial_nb
ag_news,8,symmetric,0.0,0.0,multinomial_nb
ag_news,8,symmetric,0.05,0.0,multinomial_nb
ag_news,8,symmetric,0.1,0.5,multinomial_nb
ag_news,8,symmetric,0.2,0.5,multinomial_nb
ag_news,8,symmetric,0.3,0.5,multinomial_nb
ag_news,16,class_conditional,0.0,0.0,multinomial_nb
ag_news,16,class_conditional,0.05,0.0,multinomial_nb
ag_news,16,class_conditional,0.1,0.0,multinomial_nb
ag_news,16,class_conditional,0.2,0.0,multinomial_nb
ag_news,16,class_conditional,0.3,0.5,multinomial_nb
ag_news,16,symmetric,0.0,0.0,multinomial_nb
ag_news,16,symmetric,0.05,0.0,multinomial_nb
ag_news,16,symmetric,0.1,0.0,multinomial_nb
ag_news,16,symmetric,0.2,0.5,multinomial_nb
ag_news,16,symmetric,0.3,0.0,multinomial_nb
ag_news,64,class_conditional,0.0,0.0,multinomial_nb
ag_news,64,class_conditional,0.05,0.5,multinomial_nb
ag_news,64,class_conditional,0.1,0.5,multinomial_nb
ag_news,64,class_conditional,0.2,0.5,multinomial_nb
ag_news,64,class_conditional,0.3,0.5,multinomial_nb
ag_news,64,symmetric,0.0,0.0,multinomial_nb
ag_news,64,symmetric,0.05,0.5,multinomial_nb
ag_news,64,symmetric,0.1,0.5,multinomial_nb
ag_news,64,symmetric,0.2,0.5,multinomial_nb
ag_news,64,symmetric,0.3,0.5,multinomial_nb
ag_news,128,class_conditional,0.0,0.0,multinomial_nb
ag_news,128,class_conditional,0.05,0.0,multinomial_nb
ag_news,128,class_conditional,0.1,0.0,multinomial_nb
ag_news,128,class_conditional,0.2,0.0,multinomial_nb
ag_news,128,class_conditional,0.3,0.0,multinomial_nb
ag_news,128,symmetric,0.0,0.0,multinomial_nb
ag_news,128,symmetric,0.05,0.0,multinomial_nb
ag_news,128,symmetric,0.1,0.0,multinomial_nb
ag_news,128,symmetric,0.2,0.0,multinomial_nb
ag_news,128,symmetric,0.3,0.0,multinomial_nb
dbpedia_14,8,class_conditional,0.0,0.0,softmax_logreg
dbpedia_14,8,class_conditional,0.05,0.5,multinomial_nb
dbpedia_14,8,class_conditional,0.1,0.5,multinomial_nb
dbpedia_14,8,class_conditional,0.2,0.5,multinomial_nb
dbpedia_14,8,class_conditional,0.3,0.5,multinomial_nb
dbpedia_14,8,symmetric,0.0,0.0,softmax_logreg
dbpedia_14,8,symmetric,0.05,0.5,multinomial_nb
dbpedia_14,8,symmetric,0.1,0.5,multinomial_nb
dbpedia_14,8,symmetric,0.2,0.5,multinomial_nb
dbpedia_14,8,symmetric,0.3,1.0,multinomial_nb
dbpedia_14,16,class_conditional,0.0,0.0,softmax_logreg
dbpedia_14,16,class_conditional,0.05,0.5,multinomial_nb
dbpedia_14,16,class_conditional,0.1,0.5,multinomial_nb
dbpedia_14,16,class_conditional,0.2,0.5,multinomial_nb
dbpedia_14,16,class_conditional,0.3,0.5,multinomial_nb
dbpedia_14,16,symmetric,0.0,0.0,softmax_logreg
dbpedia_14,16,symmetric,0.05,0.5,multinomial_nb
dbpedia_14,16,symmetric,0.1,0.5,multinomial_nb
dbpedia_14,16,symmetric,0.2,0.5,multinomial_nb
dbpedia_14,16,symmetric,0.3,0.5,multinomial_nb
dbpedia_14,64,class_conditional,0.0,0.0,multinomial_nb
dbpedia_14,64,class_conditional,0.05,0.0,multinomial_nb
dbpedia_14,64,class_conditional,0.1,0.0,multinomial_nb
dbpedia_14,64,class_conditional,0.2,0.0,multinomial_nb
dbpedia_14,64,class_conditional,0.3,0.5,multinomial_nb
dbpedia_14,64,symmetric,0.0,0.0,multinomial_nb
dbpedia_14,64,symmetric,0.05,0.0,multinomial_nb
dbpedia_14,64,symmetric,0.1,0.0,multinomial_nb
dbpedia_14,64,symmetric,0.2,0.0,multinomial_nb
dbpedia_14,64,symmetric,0.3,0.0,multinomial_nb
dbpedia_14,128,class_conditional,0.0,0.0,multinomial_nb
dbpedia_14,128,class_conditional,0.05,0.0,multinomial_nb
dbpedia_14,128,class_conditional,0.1,0.0,multinomial_nb
dbpedia_14,128,class_conditional,0.2,0.5,multinomial_nb
dbpedia_14,128,class_conditional,0.3,1.0,linear_svm_hinge
dbpedia_14,128,symmetric,0.0,0.0,multinomial_nb
dbpedia_14,128,symmetric,0.05,0.0,multinomial_nb
dbpedia_14,128,symmetric,0.1,0.0,multinomial_nb
dbpedia_14,128,symmetric,0.2,0.0,multinomial_nb
dbpedia_14,128,symmetric,0.3,0.0,multinomial_nb
trec_qc,8,class_conditional,0.0,0.0,softmax_logreg
trec_qc,8,class_conditional,0.05,1.0,softmax_logreg
trec_qc,8,class_conditional,0.1,0.5,softmax_logreg
trec_qc,8,class_conditional,0.2,0.5,softmax_logreg
trec_qc,8,class_conditional,0.3,1.5,trimmed_softmax_logreg
trec_qc,8,symmetric,0.0,0.0,softmax_logreg
trec_qc,8,symmetric,0.05,1.0,softmax_logreg
trec_qc,8,symmetric,0.1,0.5,softmax_logreg
trec_qc,8,symmetric,0.2,1.0,softmax_logreg
trec_qc,8,symmetric,0.3,0.5,softmax_logreg
trec_qc,16,class_conditional,0.0,0.0,softmax_logreg
trec_qc,16,class_conditional,0.05,1.5,trimmed_softmax_logreg
trec_qc,16,class_conditional,0.1,0.5,softmax_logreg
trec_qc,16,class_conditional,0.2,1.0,softmax_logreg
trec_qc,16,class_conditional,0.3,0.5,softmax_logreg
trec_qc,16,symmetric,0.0,0.0,softmax_logreg
trec_qc,16,symmetric,0.05,0.5,softmax_logreg
trec_qc,16,symmetric,0.1,1.0,softmax_logreg
trec_qc,16,symmetric,0.2,1.5,linear_svm_hinge
trec_qc,16,symmetric,0.3,1.0,softmax_logreg
trec_qc,64,class_conditional,0.0,0.0,trimmed_softmax_logreg
trec_qc,64,class_conditional,0.05,0.0,trimmed_softmax_logreg
trec_qc,64,class_conditional,0.1,0.5,trimmed_softmax_logreg
trec_qc,64,class_conditional,0.2,0.0,trimmed_softmax_logreg
trec_qc,64,class_conditional,0.3,1.5,linear_svm_hinge
trec_qc,64,symmetric,0.0,0.0,trimmed_softmax_logreg
trec_qc,64,symmetric,0.05,0.5,softmax_logreg
trec_qc,64,symmetric,0.1,0.5,softmax_logreg
trec_qc,64,symmetric,0.2,1.5,softmax_logreg
trec_qc,64,symmetric,0.3,0.0,trimmed_softmax_logreg
trec_qc,128,class_conditional,0.0,0.0,trimmed_softmax_logreg
trec_qc,128,class_conditional,0.05,1.0,softmax_logreg
trec_qc,128,class_conditional,0.1,1.0,softmax_logreg
trec_qc,128,class_conditional,0.2,1.0,softmax_logreg
trec_qc,128,class_conditional,0.3,2.0,softmax_logreg
trec_qc,128,symmetric,0.0,0.0,trimmed_softmax_logreg
trec_qc,128,symmetric,0.05,1.0,softmax_logreg
trec_qc,128,symmetric,0.1,1.0,softmax_logreg
trec_qc,128,symmetric,0.2,1.0,softmax_logreg
trec_qc,128,symmetric,0.3,1.0,softmax_logreg
