dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,0,class_0,200,0.7976878612716763,0.69,0.7399463806970509
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,1,class_1,200,0.8863636363636364,0.78,0.8297872340425532
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,2,class_2,200,0.7,0.42,0.525
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,3,class_3,200,0.7619047619047619,0.88,0.8167053364269142
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,4,class_4,200,0.6573705179282868,0.825,0.7317073170731707
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,5,class_5,200,0.780952380952381,0.82,0.8
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,6,class_6,200,0.7441860465116279,0.64,0.6881720430107526
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,7,class_7,200,0.8356164383561644,0.915,0.8735083532219571
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,8,class_8,200,0.8990825688073395,0.98,0.937799043062201
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,9,class_9,200,0.5581395348837209,0.6,0.5783132530120482
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,10,class_10,200,0.5786802030456852,0.57,0.5743073047858941
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,11,class_11,200,0.9330143540669856,0.975,0.9535452322738386
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,12,class_12,200,0.9362745098039216,0.955,0.9455445544554456
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,13,class_13,200,0.7170731707317073,0.735,0.725925925925926
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,0,class_0,200,0.860655737704918,0.525,0.6521739130434783
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,1,class_1,200,0.8263157894736842,0.785,0.805128205128205
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,2,class_2,200,0.752,0.47,0.5784615384615385
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,3,class_3,200,0.7470817120622568,0.96,0.8402625820568927
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,4,class_4,200,0.8186274509803921,0.835,0.8267326732673267
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,5,class_5,200,0.6691449814126395,0.9,0.767590618336887
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,6,class_6,200,0.8128654970760234,0.695,0.7493261455525606
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,7,class_7,200,0.9042553191489362,0.85,0.8762886597938143
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,8,class_8,200,0.9558823529411765,0.975,0.9653465346534653
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,9,class_9,200,0.7724867724867724,0.73,0.7506426735218509
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,10,class_10,200,0.8021978021978022,0.73,0.7643979057591622
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,11,class_11,200,0.8140495867768595,0.985,0.8914027149321266
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,12,class_12,200,0.9019607843137255,0.92,0.9108910891089109
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,13,class_13,200,0.6324110671936759,0.8,0.7064017660044151
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,0,class_0,200,0.8333333333333334,0.625,0.7142857142857143
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,1,class_1,200,0.9010989010989011,0.82,0.8586387434554974
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,2,class_2,200,0.7248322147651006,0.54,0.6189111747851004
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,3,class_3,200,0.8148148148148148,0.88,0.8461538461538461
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,4,class_4,200,0.8128342245989305,0.76,0.785529715762274
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,5,class_5,200,0.7023255813953488,0.755,0.7277108433734941
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,6,class_6,200,0.8263473053892215,0.69,0.752043596730245
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,7,class_7,200,0.5331491712707183,0.965,0.6868327402135231
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,8,class_8,200,0.9696969696969697,0.96,0.964824120603015
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,9,class_9,200,0.7450980392156863,0.76,0.7524752475247525
