dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes
dbpedia_14,8,0.0,symmetric,softmax_logreg,101,112,2800,14,0.0,0.7703571428571429,0.7657329984276966,0.1186366081237793,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_probabilistic,
dbpedia_14,8,0.0,symmetric,softmax_logreg,202,112,2800,14,0.0,0.7971428571428572,0.7917890728300454,0.13535141944885254,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_probabilistic,
dbpedia_14,8,0.0,symmetric,softmax_logreg,303,112,2800,14,0.0,0.7853571428571429,0.7847199514136207,0.12897109985351562,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_probabilistic,
dbpedia_14,8,0.0,symmetric,softmax_logreg,404,112,2800,14,0.0,0.7742857142857142,0.7672263670573004,0.1551380157470703,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_probabilistic,
dbpedia_14,8,0.0,symmetric,softmax_logreg,505,112,2800,14,0.0,0.7792857142857142,0.7764940697594099,0.144150972366333,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_probabilistic,
dbpedia_14,8,0.0,symmetric,multinomial_nb,101,112,2800,14,0.0,0.7703571428571429,0.7647893622291171,0.08195972442626953,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,generative_nb,
dbpedia_14,8,0.0,symmetric,multinomial_nb,202,112,2800,14,0.0,0.7671428571428571,0.7604569041213202,0.08298969268798828,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,generative_nb,
dbpedia_14,8,0.0,symmetric,multinomial_nb,303,112,2800,14,0.0,0.7875,0.7825688740100424,0.08474540710449219,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,generative_nb,
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,112,2800,14,0.0,0.7535714285714286,0.7418724924324696,0.08173179626464844,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,generative_nb,
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,112,2800,14,0.0,0.7639285714285714,0.7585629606980172,0.08554482460021973,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,generative_nb,
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,112,2800,14,0.0,0.4925,0.4614113673160403,0.24112796783447266,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_margin,
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,112,2800,14,0.0,0.48464285714285715,0.4846068561874538,0.2168254852294922,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_margin,
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,303,112,2800,14,0.0,0.43607142857142855,0.4289334492793056,0.21450257301330566,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_margin,
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,404,112,2800,14,0.0,0.42142857142857143,0.3425799152422786,0.19425272941589355,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8, ""4"": 8, ""5"": 8, ""6"": 8, ""7"": 8, ""8"": 8, ""9"": 8, ""10"": 8, ""11"": 8, ""12"": 8, ""13"": 8}",cached_parquet_balanced_pool,linear_margin,
