dataset,budget_per_class,noise_rate,noise_type,method,seed,status,old_accuracy,new_accuracy,delta_accuracy,old_macro_f1,new_macro_f1,delta_macro_f1
ag_news,8,0.0,class_conditional,linear_svm_hinge,101,compared,0.4225,0.4225,0.0,0.411099485207772,0.411099485207772,0.0
ag_news,8,0.0,class_conditional,linear_svm_hinge,202,compared,0.51,0.51,0.0,0.5068241044063576,0.5068241044063576,0.0
ag_news,8,0.0,class_conditional,linear_svm_hinge,303,compared,0.5025,0.5025,0.0,0.49396797096462847,0.49396797096462847,0.0
ag_news,8,0.0,class_conditional,linear_svm_hinge,404,compared,0.54,0.54,0.0,0.5319929229224082,0.5319929229224082,0.0
ag_news,8,0.0,class_conditional,linear_svm_hinge,505,compared,0.4475,0.4475,0.0,0.4284358601860281,0.4284358601860281,0.0
ag_news,8,0.0,symmetric,linear_svm_hinge,101,compared,0.4225,0.4225,0.0,0.411099485207772,0.411099485207772,0.0
ag_news,8,0.0,symmetric,linear_svm_hinge,202,compared,0.51,0.51,0.0,0.5068241044063576,0.5068241044063576,0.0
ag_news,8,0.0,symmetric,linear_svm_hinge,303,compared,0.5025,0.5025,0.0,0.49396797096462847,0.49396797096462847,0.0
ag_news,8,0.0,symmetric,linear_svm_hinge,404,compared,0.54,0.54,0.0,0.5319929229224082,0.5319929229224082,0.0
ag_news,8,0.0,symmetric,linear_svm_hinge,505,compared,0.4475,0.4475,0.0,0.4284358601860281,0.4284358601860281,0.0
ag_news,16,0.0,class_conditional,linear_svm_hinge,101,compared,0.5075,0.5075,0.0,0.5047767881306707,0.5047767881306707,0.0
ag_news,16,0.0,class_conditional,linear_svm_hinge,202,compared,0.57125,0.57125,0.0,0.5614585357020129,0.5614585357020129,0.0
ag_news,16,0.0,class_conditional,linear_svm_hinge,303,compared,0.53625,0.53625,0.0,0.5309403553751785,0.5309403553751785,0.0
ag_news,16,0.0,class_conditional,linear_svm_hinge,404,compared,0.5825,0.5825,0.0,0.5832402514379118,0.5832402514379118,0.0
ag_news,16,0.0,class_conditional,linear_svm_hinge,505,compared,0.59,0.59,0.0,0.5778326502636039,0.5778326502636039,0.0
ag_news,16,0.0,symmetric,linear_svm_hinge,101,compared,0.5075,0.5075,0.0,0.5047767881306707,0.5047767881306707,0.0
ag_news,16,0.0,symmetric,linear_svm_hinge,202,compared,0.57125,0.57125,0.0,0.5614585357020129,0.5614585357020129,0.0
ag_news,16,0.0,symmetric,linear_svm_hinge,303,compared,0.53625,0.53625,0.0,0.5309403553751785,0.5309403553751785,0.0
ag_news,16,0.0,symmetric,linear_svm_hinge,404,compared,0.5825,0.5825,0.0,0.5832402514379118,0.5832402514379118,0.0
ag_news,16,0.0,symmetric,linear_svm_hinge,505,compared,0.59,0.59,0.0,0.5778326502636039,0.5778326502636039,0.0
ag_news,32,0.0,class_conditional,linear_svm_hinge,101,new_clean_key_not_in_old,,0.68,,,0.6774942129714022,
ag_news,32,0.0,class_conditional,linear_svm_hinge,202,new_clean_key_not_in_old,,0.66625,,,0.665459773440957,
ag_news,32,0.0,class_conditional,linear_svm_hinge,303,new_clean_key_not_in_old,,0.63125,,,0.6243644818998626,
